Year;Code;1.a.2 health-expenditure-government-expenditure;2.3.1 agriculture-value-added-per-worker-wdi;3.8.1 healthcare-access-and-quality-index;4.3.1 gross-enrollment-ratio-in-tertiary-education;5.5.1 seats-held-by-women-in-national-parliament;6.4.1 water-productivity;7.2.1 renewables-share-final-energy;7.3.1 energy-intensity-of-economie;8.1.1 gdp-per-capita-worldbank;9.2.2 industry-share-of-total-emplyoment;9.4.1 cco2-intensity;9.5.2 researchers-in-rd-per-million-people;11.6.2 PM25-air-pollution;12.2.2 domestic-material-consumption-per-capita;12.5.1 municipal-waste-recycled;13.2.1 co-emissions-per-capita;15.1.1 forest-area-as-share-of-land-area;16.1.1 intentional-homicides-per-100000-people
2002;MEX;10.69557975;4229.92603084982;;20.8357601165771;16.0;12.6023758482547;10.6827805508327;1.193977060602854;17193.5610804702;25.075;0.361375164;294.871215820313;;7.79798;780470.0;4.051410601;35.02854600169758;9.9208569732
2003;MEX;11.56949685;4672.29443284413;;21.7265892028809;22.6;;10.1690386164319;1.2472156364105196;17205.9865610425;24.975;0.374151742;313.953582763672;;7.93051;820500.0;4.24673352;34.954570848015635;9.785506585
2004;MEX;12.79013202;4729.46245937741;;22.562219619751;22.6;;10.2132927480421;1.208869829970371;17635.2468516088;24.9;0.348298966;366.938842773438;;8.31584;895000.0;4.198982892;34.88059569433371;8.9259971211
2005;MEX;12.04719401;4792.54830144452;59.1;23.12034034729;24.2;;10.3057556226863;1.2539700621522831;17788.5891204455;25.803;0.341171463;400.208099365234;26.8628999158892;8.62285;1150000.0;4.377087779;34.806620540651764;9.358974931
2006;MEX;11.18444417;5123.92917130964;;23.6079692840576;22.6;;9.82410741213981;1.2221188334223485;18319.4775627403;25.982;0.328665666;325.579742431641;;8.87886;1176000.0;4.430691856;34.73264538696983;9.7173530477
2007;MEX;11.33363628;5536.28632556136;;24.1429805755615;23.2;13.3559288713645;9.45657974068416;1.176444281866292;18462.840123233;26.135;0.315649218;335.250213623047;;8.8157;1202200.0;4.394819247;34.6586702332879;8.1221573194
2008;MEX;10.64564422;5569.49052694353;;24.7486000061035;23.2;;9.76961777722943;1.148396915711392;18396.8109188439;25.907;0.31399979;327.372192382813;;8.60528;1346800.0;4.448672743;34.58469507960596;12.639052134
2009;MEX;11.38335512;5229.38447549091;;25.1928596496582;27.6;;9.16840548130559;1.206559973752204;17168.9773337976;25.599;0.321556118;367.866973876953;;8.08215;1500000.0;4.231603482;34.51071992592402;17.608319172
2010;MEX;11.5345302;5135.3553253046;60.5;26.1664390563965;26.2;;9.35997754330969;1.1151952380673713;17790.0119218899;25.462;0.291687116;311.839538574219;26.3654389998875;8.28126;1695000.0;4.064951522;34.436744772242086;22.575450557
2011;MEX;11.35873486;4989.71825769621;;27.0376491546631;26.2;;9.06647223491036;1.1261482954680213;18186.2245700593;24.566;0.281491187;322.542205810547;27.7412967942738;8.40646;1980000.0;4.184838074;34.37373903649785;23.521232483
